timestamp,datetime,pod,service,cpu_value,memory_value,run_id,pod_age_points,delta_time,delta_cpu_value,cpu_rate,memory_diff,memory_change_rate,rate_change,abs_rate_change,rolling_mean,rolling_std,rolling_median,rolling_min,rolling_max,rolling_q25,rolling_q75,rolling_range,rolling_iqr,ema_rate,ema_deviation,rate_zscore,relative_to_mean,memory_rolling_mean,memory_rolling_std,memory_rolling_median,memory_rolling_min,memory_rolling_max,memory_rolling_q25,memory_rolling_q75,memory_rolling_range,memory_rolling_iqr,memory_zscore,memory_relative_to_mean,is_new_pod_window,raw_prediction,is_anomaly,anomaly_score,is_fault_window,fault_type_label,is_anomaly_raw,is_anomaly_filtered
1781663912,2026-06-17 10:38:32,carts-b6c5c87f9-4tk76,carts,81.323347,410906624,run_007,151,15.0,0.026870999999999867,0.0017913999999999912,-229376.0,-15291.733333333334,0.0017913999999999912,0.0017913999999999912,0.0012312266666666947,0.000729651156486045,0.0014303333333335407,0.0,0.0017913999999999912,0.0011943999999999733,0.0017399999999999712,0.0017913999999999912,0.0005455999999999979,0.0012859471872885132,0.000505452812711478,0.7677276029151474,1.4549717355049303,410879590.4,263605.525794159,410906624.0,410607616.0,411136000.0,410611712.0,411136000.0,528384.0,524288.0,0.10255323714698418,1.0000657944581128,0,1,0,0.11450872882431207,0,normal,0,0
1781663927,2026-06-17 10:38:47,carts-b6c5c87f9-4tk76,carts,81.346177,410644480,run_007,152,15.0,0.022829999999999018,0.0015219999999999344,-262144.0,-17476.266666666666,-0.00026940000000005675,0.00026940000000005675,0.0012495599999999738,0.0007370190553433308,0.0015219999999999344,0.0,0.0017913999999999912,0.0011943999999999733,0.0017399999999999712,0.0017913999999999912,0.0005455999999999979,0.0013646314581923203,0.00015736854180761414,0.36965122953713586,1.2180287461186068,410886963.2,254453.5949591126,410906624.0,410611712.0,411136000.0,410644480.0,411136000.0,524288.0,491520.0,-0.9529564714499396,0.9994098542379842,0,1,0,0.1197303652551518,0,normal,0,0
1781663942,2026-06-17 10:39:02,carts-b6c5c87f9-4tk76,carts,81.365068,410644480,run_007,153,15.0,0.01889099999999644,0.0012593999999997625,0.0,0.0,-0.00026260000000017194,0.00026260000000017194,0.0012625599999999315,0.0007363758469281696,0.0015219999999999344,0.0,0.0017913999999999912,0.0012593999999997625,0.0017399999999999712,0.0017913999999999912,0.0004806000000002087,0.0013295543054614677,-7.01543054617052e-05,-0.004291286865737276,0.9974971486502272,410893516.8,245869.20240570614,410906624.0,410644480.0,411136000.0,410644480.0,411136000.0,491520.0,491520.0,-1.0128832629841902,0.9993939140195263,0,1,0,0.1297795644995704,0,normal,0,0
1781663957,2026-06-17 10:39:17,carts-b6c5c87f9-4tk76,carts,81.403439,410669056,run_007,154,15.0,0.038371000000012145,0.0025580666666674763,24576.0,1638.4,0.0012986666666677138,0.0012986666666677138,0.0014261733333334325,0.0009334799820181441,0.0015219999999999344,0.0,0.0025580666666674763,0.0012593999999997625,0.0017913999999999912,0.0025580666666674763,0.0005320000000002287,0.0017390584258634707,0.0008190082408040056,1.212552336566381,1.79365761992509,410800128.0,217820.9513532135,410669056.0,410644480.0,411136000.0,410644480.0,410906624.0,491520.0,262144.0,-0.6017419315530241,0.9996809348608577,0,1,0,0.11394469907062232,0,normal,0,0
1781663972,2026-06-17 10:39:32,carts-b6c5c87f9-4tk76,carts,81.417339,410669056,run_007,155,15.0,0.013899999999992474,0.0009266666666661649,0.0,0.0,-0.0016314000000013113,0.0016314000000013113,0.0016115066666666654,0.0006183311852126972,0.0015219999999999344,0.0009266666666661649,0.0025580666666674763,0.0012593999999997625,0.0017913999999999912,0.0016314000000013113,0.0005320000000002287,0.0014682611727977021,-0.0005415945061315372,-1.1075617992078552,0.5750312337105848,410706739.2,112412.62870166701,410669056.0,410644480.0,410906624.0,410644480.0,410669056.0,262144.0,24576.0,-0.33522212259617107,0.999908247914136,0,1,0,0.12135214215856704,0,normal,0,0
1781663987,2026-06-17 10:39:47,carts-b6c5c87f9-4tk76,carts,81.436776,410669056,run_007,156,15.0,0.019436999999996374,0.0012957999999997582,0.0,0.0,0.00036913333333359326,0.00036913333333359326,0.0015123866666666192,0.0006219965905103856,0.0012957999999997582,0.0009266666666661649,0.0025580666666674763,0.0012593999999997625,0.0015219999999999344,0.0016314000000013113,0.00026260000000017194,0.0014107741151983876,-0.00011497411519862939,-0.34821198374920126,0.8567914730799435,410659225.6,13460.829588774714,410669056.0,410644480.0,410669056.0,410644480.0,410669056.0,24576.0,24576.0,0.7302967424960158,1.0000239380960834,0,1,0,0.14054741518983693,0,normal,0,0
1781664002,2026-06-17 10:40:02,carts-b6c5c87f9-4tk76,carts,81.449393,410669056,run_007,157,15.0,0.012617000000005874,0.0008411333333337249,0.0,0.0,-0.0004546666666660333,0.0004546666666660333,0.001376213333333377,0.0006901615340272468,0.0012593999999997625,0.0008411333333337249,0.0025580666666674763,0.0009266666666661649,0.0012957999999997582,0.0017169333333337516,0.00036913333333359326,0.0012208938545768334,-0.0003797605212431085,-0.7752967582492475,0.6111940009303535,410664140.8,10990.721342018669,410669056.0,410644480.0,410669056.0,410669056.0,410669056.0,24576.0,0.0,0.44721359472528516,1.0000119689047853,0,1,0,0.13891815378340538,0,normal,0,0
1781664017,2026-06-17 10:40:17,carts-b6c5c87f9-4tk76,carts,81.475875,410939392,run_007,158,15.0,0.02648200000000145,0.0017654666666667633,270336.0,18022.4,0.0009243333333330384,0.0009243333333330384,0.0014774266666667771,0.0007056812100105492,0.0012957999999997582,0.0008411333333337249,0.0025580666666674763,0.0009266666666661649,0.0017654666666667633,0.0017169333333337516,0.0008388000000005984,0.0014024181252734768,0.00036304854139328647,0.40817297657065327,1.1949606071818328,410723123.2,120897.934554808,410669056.0,410669056.0,410939392.0,410669056.0,410669056.0,270336.0,0.0,1.7888543819743123,1.0005265561829464,0,1,0,0.13199838992755536,0,normal,0,0
1781660852,2026-06-17 09:47:32,carts-b6c5c87f9-wc5zx,carts,117.585793,342274048,run_007,1,15.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,342274048.0,0.0,342274048.0,342274048.0,342274048.0,342274048.0,342274048.0,0.0,0.0,0.0,1.0,1,1,0,0.02784895404570198,0,normal,0,0
1781660867,2026-06-17 09:47:47,carts-b6c5c87f9-wc5zx,carts,117.619208,342532096,run_007,2,15.0,0.03341500000000508,0.002227666666667005,258048.0,17203.2,0.002227666666667005,0.002227666666667005,0.0011138333333335026,0.0015751982062234718,0.0011138333333335026,0.0,0.002227666666667005,0.0005569166666667513,0.0016707500000002538,0.002227666666667005,0.0011138333333335026,0.0007425555555556683,0.0014851111111113368,0.7071067811865475,2.0,342403072.0,182467.4906716262,342403072.0,342274048.0,342532096.0,342338560.0,342467584.0,258048.0,129024.0,0.7071067811865476,1.0003768190491,1,1,0,0.04026184816064604,0,normal,0,0
