"run_id","event_id","run_type","service","target","fault_type","intensity","start_time","end_time","baseline_start","baseline_end","observe_end","expected_fault_window_start","expected_fault_window_end","status","notes"
"run_003","event_10","single_fault_serial","user","user-9c64594b7-fk5qj","kill","-","2026-06-16 22:19:54","2026-06-16 22:20:55","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:19:48","2026-06-16 22:17:48","2026-06-16 22:18:48","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_12","single_fault_serial","orders","orders-6cfcf6794c-jf9nt","kill","-","2026-06-16 22:22:42","2026-06-16 22:24:13","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:22:35","2026-06-16 22:20:35","2026-06-16 22:21:35","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_04","single_fault_serial","catalogue","catalogue-744d46f784-zlxwq","kill","-","2026-06-16 22:26:06","2026-06-16 22:27:07","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:25:28","2026-06-16 22:23:28","2026-06-16 22:24:28","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_15","single_fault_serial","user","user-9c64594b7-r5sgl","kill","-","2026-06-16 22:29:05","2026-06-16 22:30:06","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:28:26","2026-06-16 22:26:26","2026-06-16 22:27:26","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_01","single_fault_serial","carts","carts-b6c5c87f9-pp9lq","kill","-","2026-06-16 22:31:47","2026-06-16 22:33:18","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:31:07","2026-06-16 22:29:07","2026-06-16 22:30:07","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_03","single_fault_serial","front-end","front-end-87ff7b849-qmz59","kill","-","2026-06-16 22:35:06","2026-06-16 22:36:38","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:33:55","2026-06-16 22:31:55","2026-06-16 22:32:55","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_14","single_fault_serial","catalogue","catalogue-744d46f784-gcn2j","kill","-","2026-06-16 22:38:16","2026-06-16 22:39:16","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:36:33","2026-06-16 22:34:33","2026-06-16 22:35:33","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_11","single_fault_serial","carts","carts-b6c5c87f9-zx7cn","kill","-","2026-06-16 22:41:05","2026-06-16 22:42:36","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:39:21","2026-06-16 22:37:21","2026-06-16 22:38:21","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_09","single_fault_serial","catalogue","catalogue-744d46f784-w6rnm","kill","-","2026-06-16 22:44:18","2026-06-16 22:45:19","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:42:03","2026-06-16 22:40:03","2026-06-16 22:41:03","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_003","event_07","single_fault_serial","orders","orders-6cfcf6794c-4t7jg","kill","-","2026-06-16 22:47:03","2026-06-16 22:48:34","2026-06-16 21:56:17","2026-06-16 22:04:17","2026-06-16 22:44:47","2026-06-16 22:42:47","2026-06-16 22:43:47","executed","标准轮 3：15 次 kill，模拟更密集的实例级故障"
"run_004","event_01","single_fault_serial","carts","carts-b6c5c87f9-6pzz9","kill","-","2026-06-16 23:02:11","2026-06-16 23:03:42","2026-06-16 22:54:11","2026-06-16 23:02:11","2026-06-16 23:04:11","2026-06-16 23:02:11","2026-06-16 23:03:11","executed","标准轮 4：run_003 的重复轮，用于重复性检验"
"run_004","event_12","single_fault_serial","orders","orders-6cfcf6794c-qhwhc","kill","-","2026-06-16 23:05:14","2026-06-16 23:06:45","2026-06-16 22:54:11","2026-06-16 23:02:11","2026-06-16 23:06:43","2026-06-16 23:04:43","2026-06-16 23:05:43","executed","标准轮 4：run_003 的重复轮，用于重复性检验"
"run_004","event_04","single_fault_serial","catalogue","catalogue-744d46f784-fx46m","kill","-","2026-06-16 23:08:29","2026-06-16 23:09:30","2026-06-16 22:54:11","2026-06-16 23:02:11","2026-06-16 23:09:27","2026-06-16 23:07:27","2026-06-16 23:08:27","executed","标准轮 4：run_003 的重复轮，用于重复性检验"
"run_004","event_02","single_fault_serial","orders","orders-6cfcf6794c-g694s","kill","-","2026-06-16 23:11:02","2026-06-16 23:12:33","2026-06-16 22:54:11","2026-06-16 23:02:11","2026-06-16 23:11:59","2026-06-16 23:09:59","2026-06-16 23:10:59","executed","标准轮 4：run_003 的重复轮，用于重复性检验"
"run_004","event_05","single_fault_serial","user","user-9c64594b7-z7kzv","kill","-","2026-06-16 23:14:17","2026-06-16 23:15:18","2026-06-16 22:54:11","2026-06-16 23:02:11","2026-06-16 23:14:43","2026-06-16 23:12:43","2026-06-16 23:13:43","executed","标准轮 4：run_003 的重复轮，用于重复性检验"
"run_004","event_10","single_fault_serial","user","user-9c64594b7-hqtf9","kill","-","2026-06-16 23:17:09","2026-06-16 23:18:10","2026-06-16 22:54:11","2026-06-16 23:02:11","2026-06-16 23:17:34","2026-06-16 23:15:34","2026-06-16 23:16:34","executed","标准轮 4：run_003 的重复轮，用于重复性检验"
"run_004","event_15","single_fault_serial","user","user-9c64594b7-fqpnd","kill","-","2026-06-16 23:20:08","2026-06-16 23:21:08","2026-06-16 22:54:11","2026-06-16 23:02:11","2026-06-16 23:20:32","2026-06-16 23:18:32","2026-06-16 23:19:32","executed","标准轮 4：run_003 的重复轮，用于重复性检验"
"run_004","event_08","single_fault_serial","front-end","front-end-87ff7b849-84lpk","kill","-","2026-06-16 23:22:55","2026-06-16 23:24:26","2026-06-16 22:54:11","2026-06-16 23:02:11","2026-06-16 23:23:18","2026-06-16 23:21:18","2026-06-16 23:22:18","executed","标准轮 4：run_003 的重复轮，用于重复性检验"
